Groups:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO[35..0] =, GPIO[35], GPIO[34], GPIO[33], GPIO[32], GPIO[31], GPIO[30], GPIO[29], GPIO[28], GPIO[27], GPIO[26], GPIO[25], GPIO[24], GPIO[23], GPIO[22], GPIO[21], GPIO[20], GPIO[19], GPIO[18], GPIO[16], GPIO[17], GPIO[15], GPIO[12], GPIO[14], GPIO[13], GPIO[11], GPIO[10], GPIO[9], GPIO[8], GPIO[7], GPIO[6], GPIO[5], GPIO[4], GPIO[3], GPIO[2], GPIO[1], GPIO[0],  hex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY[3..0] =, KEY[3], KEY[2], KEY[1], KEY[0],  hex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adc_reader:inst_adc_reader|VA[15..0] =, adc_reader:inst_adc_reader|VA[15], adc_reader:inst_adc_reader|VA[14], adc_reader:inst_adc_reader|VA[13], adc_reader:inst_adc_reader|VA[12], adc_reader:inst_adc_reader|VA[11], adc_reader:inst_adc_reader|VA[10], adc_reader:inst_adc_reader|VA[9], adc_reader:inst_adc_reader|VA[8], adc_reader:inst_adc_reader|VA[7], adc_reader:inst_adc_reader|VA[6], adc_reader:inst_adc_reader|VA[5], adc_reader:inst_adc_reader|VA[4], adc_reader:inst_adc_reader|VA[3], adc_reader:inst_adc_reader|VA[2], adc_reader:inst_adc_reader|VA[1], adc_reader:inst_adc_reader|VA[0],  binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|a_out[17..0] =, inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|a_out[17], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|a_out[16], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|a_out[15], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|a_out[14], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|a_out[13], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|a_out[12], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|a_out[11], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|a_out[10], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|a_out[9], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|a_out[8], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|a_out[7], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|a_out[6], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|a_out[5], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|a_out[4], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|a_out[3], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|a_out[2], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|a_out[1], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|a_out[0],  binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adc_reader:inst_adc_reader|VB[15..0] =, adc_reader:inst_adc_reader|VB[15], adc_reader:inst_adc_reader|VB[14], adc_reader:inst_adc_reader|VB[13], adc_reader:inst_adc_reader|VB[12], adc_reader:inst_adc_reader|VB[11], adc_reader:inst_adc_reader|VB[10], adc_reader:inst_adc_reader|VB[9], adc_reader:inst_adc_reader|VB[8], adc_reader:inst_adc_reader|VB[7], adc_reader:inst_adc_reader|VB[6], adc_reader:inst_adc_reader|VB[5], adc_reader:inst_adc_reader|VB[4], adc_reader:inst_adc_reader|VB[3], adc_reader:inst_adc_reader|VB[2], adc_reader:inst_adc_reader|VB[1], adc_reader:inst_adc_reader|VB[0],  binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|b_out[17..0] =, inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|b_out[17], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|b_out[16], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|b_out[15], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|b_out[14], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|b_out[13], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|b_out[12], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|b_out[11], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|b_out[10], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|b_out[9], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|b_out[8], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|b_out[7], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|b_out[6], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|b_out[5], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|b_out[4], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|b_out[3], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|b_out[2], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|b_out[1], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|b_out[0],  binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adc_reader:inst_adc_reader|VC[15..0] =, adc_reader:inst_adc_reader|VC[15], adc_reader:inst_adc_reader|VC[14], adc_reader:inst_adc_reader|VC[13], adc_reader:inst_adc_reader|VC[12], adc_reader:inst_adc_reader|VC[11], adc_reader:inst_adc_reader|VC[10], adc_reader:inst_adc_reader|VC[9], adc_reader:inst_adc_reader|VC[8], adc_reader:inst_adc_reader|VC[7], adc_reader:inst_adc_reader|VC[6], adc_reader:inst_adc_reader|VC[5], adc_reader:inst_adc_reader|VC[4], adc_reader:inst_adc_reader|VC[3], adc_reader:inst_adc_reader|VC[2], adc_reader:inst_adc_reader|VC[1], adc_reader:inst_adc_reader|VC[0],  binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|c_out[17..0] =, inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|c_out[17], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|c_out[16], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|c_out[15], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|c_out[14], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|c_out[13], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|c_out[12], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|c_out[11], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|c_out[10], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|c_out[9], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|c_out[8], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|c_out[7], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|c_out[6], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|c_out[5], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|c_out[4], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|c_out[3], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|c_out[2], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|c_out[1], inverter_top:inst_inverter_top|spwm:modulator|nco_spvm:nco_inst|c_out[0],  binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adc_reader:inst_adc_reader|IA[15..0] =, adc_reader:inst_adc_reader|IA[15], adc_reader:inst_adc_reader|IA[14], adc_reader:inst_adc_reader|IA[13], adc_reader:inst_adc_reader|IA[12], adc_reader:inst_adc_reader|IA[11], adc_reader:inst_adc_reader|IA[10], adc_reader:inst_adc_reader|IA[9], adc_reader:inst_adc_reader|IA[8], adc_reader:inst_adc_reader|IA[7], adc_reader:inst_adc_reader|IA[6], adc_reader:inst_adc_reader|IA[5], adc_reader:inst_adc_reader|IA[4], adc_reader:inst_adc_reader|IA[3], adc_reader:inst_adc_reader|IA[2], adc_reader:inst_adc_reader|IA[1], adc_reader:inst_adc_reader|IA[0],  binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
